match_id,season,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,11.5,McGrath,Jintimani Kalita,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,11.6,McGrath,Jintimani Kalita,2,1,0,0,0,1,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,11.6,McGrath,Jintimani Kalita,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,12.1,McGrath,Nat Sciver-Brunt,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,12.2,Healy,Nat Sciver-Brunt,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,12.3,McGrath,Nat Sciver-Brunt,0,1,0,0,0,1,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,12.3,McGrath,Nat Sciver-Brunt,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,12.4,McGrath,Nat Sciver-Brunt,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,12.5,Healy,Nat Sciver-Brunt,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,12.6,Healy,Nat Sciver-Brunt,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,13.1,Healy,Matthews,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,13.2,Healy,Matthews,2,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,13.3,Healy,Matthews,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,13.4,McGrath,Matthews,0,1,0,1,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,13.5,Healy,Matthews,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,13.6,McGrath,Matthews,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,14.1,McGrath,Wong,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,14.2,Healy,Wong,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,14.3,Healy,Wong,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,14.4,McGrath,Wong,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,14.5,McGrath,Wong,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,14.6,McGrath,Wong,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,15.1,Healy,Amelia Kerr,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,15.2,McGrath,Amelia Kerr,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,15.3,Healy,Amelia Kerr,2,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,15.4,Healy,Amelia Kerr,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,15.5,Healy,Amelia Kerr,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,15.6,McGrath,Amelia Kerr,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,16.1,Healy,Saika Ishaque,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,16.2,McGrath,Saika Ishaque,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,16.3,Healy,Saika Ishaque,0,0,0,0,0,0,lbw,Healy,
